Hospital_Name,Doctor,Department,Dr_image
University Hospital Charite Berlin,Prof. Dr. med. Frank Tacke,"Gastroenterology, hepatology",https://airomedical.com/_next/image?url=https%3A%2F%2Fstorage.airomedical.com%2Fimages%2Fdoctors%2F594%2Fcl55pbg7300010hs6e9ql9udr.jpg&w=100&q=100
University Hospital Charite Berlin,Prof. Dr. med. Britta Siegmund,"Gastroenterology, rheumatology, nutritiology",https://airomedical.com/_next/image?url=https%3A%2F%2Fstorage.airomedical.com%2Fimages%2Fdoctors%2F594%2Fcl55pbg7300010hs6e9ql9udr.jpg&w=100&q=100
University Hospital Charite Berlin,Prof. Dr. med. Christoph Buhrer,Neonatology,https://airomedical.com/_next/image?url=https%3A%2F%2Fstorage.airomedical.com%2Fimages%2Fdoctors%2F594%2Fcl55pbg7300010hs6e9ql9udr.jpg&w=100&q=100
University Hospital Charite Berlin,Prof. Dr. med. Wolfgang Henrich,Obstetrics,https://airomedical.com/_next/image?url=https%3A%2F%2Fstorage.airomedical.com%2Fimages%2Fdoctors%2F594%2Fcl55pbg7300010hs6e9ql9udr.jpg&w=100&q=100
University Hospital Charite Berlin,Prof. Dr. med. Kai-Uwe Eckardt,Kidney diseases,https://airomedical.com/_next/image?url=https%3A%2F%2Fstorage.airomedical.com%2Fimages%2Fdoctors%2F594%2Fcl55pbg7300010hs6e9ql9udr.jpg&w=100&q=100
University Hospital Charite Berlin,Prof. Dr. med. Ulrich-Wilhelm Thomale,Pediatric neurosurgery,https://airomedical.com/_next/image?url=https%3A%2F%2Fstorage.airomedical.com%2Fimages%2Fdoctors%2F594%2Fcl55pbg7300010hs6e9ql9udr.jpg&w=100&q=100
University Hospital Charite Berlin,Prof. Dr. med. Lars Bullinger,"Oncology, hematology, immunology",https://airomedical.com/_next/image?url=https%3A%2F%2Fstorage.airomedical.com%2Fimages%2Fdoctors%2F594%2Fcl55pbg7300010hs6e9ql9udr.jpg&w=100&q=100
University Hospital Charite Berlin,Prof. Dr. med. dent. Paul-Georg Jost-Brinkmann,Pediatric dentistry,https://airomedical.com/_next/image?url=https%3A%2F%2Fstorage.airomedical.com%2Fimages%2Fdoctors%2F594%2Fcl55pbg7300010hs6e9ql9udr.jpg&w=100&q=100
University Hospital Charite Berlin,Prof. Dr. med. Carsten Perka,"Orthopedics, musculoskeletal surgery",https://airomedical.com/_next/image?url=https%3A%2F%2Fstorage.airomedical.com%2Fimages%2Fdoctors%2F594%2Fcl55pbg7300010hs6e9ql9udr.jpg&w=100&q=100
University Hospital Charite Berlin,Prof. Dr. med. Dr. h.c. Jalid Sehouli,Oncological gynecology,https://airomedical.com/_next/image?url=https%3A%2F%2Fstorage.airomedical.com%2Fimages%2Fdoctors%2F594%2Fcl55pbg7300010hs6e9ql9udr.jpg&w=100&q=100
University Hospital Charite Berlin,Prof. Dr. med. Jens-Uwe Blohmer,"Gynecology, breast center",https://airomedical.com/_next/image?url=https%3A%2F%2Fstorage.airomedical.com%2Fimages%2Fdoctors%2F594%2Fcl55pbg7300010hs6e9ql9udr.jpg&w=100&q=100
University Hospital Charite Berlin,"Prof. Dr. med. Wolfgang Ertel, FACS","Orthopedics, trauma, spine surgery",https://airomedical.com/_next/image?url=https%3A%2F%2Fstorage.airomedical.com%2Fimages%2Fdoctors%2F594%2Fcl55pbg7300010hs6e9ql9udr.jpg&w=100&q=100
University Hospital Charite Berlin,Prof. Dr. med. Andreas Greiner,Vascular surgery,https://airomedical.com/_next/image?url=https%3A%2F%2Fstorage.airomedical.com%2Fimages%2Fdoctors%2F594%2Fcl55pbg7300010hs6e9ql9udr.jpg&w=100&q=100
University Hospital Charite Berlin,Prof. Dr. med. Stefan Mundlos,Human genetics,https://airomedical.com/_next/image?url=https%3A%2F%2Fstorage.airomedical.com%2Fimages%2Fdoctors%2F594%2Fcl55pbg7300010hs6e9ql9udr.jpg&w=100&q=100
University Hospital Charite Berlin,Prof. Dr. med. Ulrich Keilholz,Cancer center,https://airomedical.com/_next/image?url=https%3A%2F%2Fstorage.airomedical.com%2Fimages%2Fdoctors%2F594%2Fcl55pbg7300010hs6e9ql9udr.jpg&w=100&q=100
University Hospital Charite Berlin,Dr. med. Georg Bohner,Neuroradiology,https://airomedical.com/_next/image?url=https%3A%2F%2Fstorage.airomedical.com%2Fimages%2Fdoctors%2F594%2Fcl55pbg7300010hs6e9ql9udr.jpg&w=100&q=100
University Hospital Charite Berlin,Prof. Dr. med. Ingo Fietze,Sleep center,https://airomedical.com/_next/image?url=https%3A%2F%2Fstorage.airomedical.com%2Fimages%2Fdoctors%2F594%2Fcl55pbg7300010hs6e9ql9udr.jpg&w=100&q=100
