Hospital_Name,Department,Doctor,Dr_image,About_dr
University Hospital Rechts der Isar Munich,"Vascular, endovascular surgery",,https://airomedical.com/_next/image?url=https%3A%2F%2Fstorage.airomedical.com%2Fimages%2Fdoctors%2F1%2Fcl0qzea4o000n0ks6g4312fy5.jpg&w=100&q=100,"University Hospital Rechts der Isar of the Technical University (TUM) Munich was founded in 1834 as a part of Technical University Munich. It is the second-largest hospital in Munich, with a state-of-the-art approach to medical care. As a university hospital, it provides medical services following the latest standards and is involved in research activities to develop new frontiers of medicine. In particular, it is the biomedical research facility of Technical University Munich. The building itself is a modern steel and glass, formed by the comb-structure emphasizing gardens, including planted rooftops. There are more than 1,000 beds available for in-patient care, and 60,000 patients receive hospitalized care annually at University Hospital Rechts der Isar. In addition, around 250,000 patients receive outpatient care. The team consists of approximately 5,500 people (including 877 doctors) working in 30 departments and 20 interdisciplinary centers. One of the best features of the university hospital is the interdisciplinary centers, providing customized care for specific patients. For example, the Comprehensive Cancer Center Munich is one of Germany's 13 oncology centers of excellence, supported by German Cancer Aid. Some very advanced interventions were performed at this hospital, for example, the first-ever successful transplantation of both hands in 2008. University Hospital Rechts der Isar Munich covers a full range of modern medical branches for patients and functions as a training center for physicians and nursing personnel. Some of the most popular departments among international patients include the department of gynecology, obstetrics, mammology, breast center, department of hematology and oncology, the department of neurosurgery, neuro-oncology and vascular neurosurgery, the department of general, abdominal, thoracic, and endocrine surgery, etc. Furthermore, as a leading medical research and innovation facility, the hospital offers the latest diagnostic and treatment options."
University Hospital Rechts der Isar Munich,Urology,Prof. Dr. med. Jurgen Gschwend,https://airomedical.com/_next/image?url=https%3A%2F%2Fstorage.airomedical.com%2Fimages%2Fdoctors%2F1%2Fcl0qzea4o000n0ks6g4312fy5.jpg&w=100&q=100,"Prof. Dr. med. Jurgen Gschwend is a highly experienced urologist with 35 years of practice in the field. He is currently the Head of the Department of Urology at the University Hospital Rechts der Isar Munich in Germany, a prestigious institution where he has been a Professor since 2006. Dr. Gschwend's extensive CV includes impressive achievements such as receiving a Ph. D. , a postdoctoral teaching qualification and being appointed the Vice-Dean of the Technical University Munich School of Medicine. Dr. Gschwend's specialization in urology and oncourology is reflected in his notable 618 scientific publications. His research focuses on a wide range of topics, including renal neuroendocrine tumors, radioligand therapy for prostate cancer, and the impact of treatments on quality of life. These publications showcase his expertise and dedication to advancing medical knowledge in the field of urology. Dr. Gschwend's exceptional career features, such as his role as Deputy Chairman of the Comprehensive Cancer Center Munich and his memberships in prestigious medical societies, highlight his stature as a leader in his field. His contributions to urological oncology have earned him recognition, including the Maximilian Nitze Prize from the German Society for Urology. With his wealth of experience and groundbreaking research, Prof. Dr. med. Jurgen Gschwend is undoubtedly a highly respected and proficient urologist, committed to providing the best possible care to his patients and advancing the field of urology."
University Hospital Rechts der Isar Munich,Trauma surgery,Prof. Dr. med. Peter Biberthaler,https://airomedical.com/_next/image?url=https%3A%2F%2Fstorage.airomedical.com%2Fimages%2Fdoctors%2F1%2Fcl0qzea4o000n0ks6g4312fy5.jpg&w=100&q=100,"Prof. Dr. med. Peter Biberthaler is a highly skilled doctor specializing in general surgery, orthopedic surgery, and traumatology. With 16 years of experience, he is considered an expert in his field. He currently serves as the Professor and Head of the Department of Trauma surgerу at University Hospital Rechts der Isar Munich in Germany. Prof. Biberthaler's impressive career includes a medical degree from Ludwig Maximilian University of Munich, as well as medical studies in the US and Brazil. He has received numerous awards for his contributions to the medical field, including the Innovation Award from the German Society of Traumatology and the Otto Goetze Prize from the Association of Surgeons of Bavaria. One of the highlights of Prof. Biberthaler's career is his extensive research and publication record, with over 250 scientific publications to his name. His research focuses on a wide range of topics, including traumatic brain injury, fractures, and the impact of the COVID-19 pandemic on trauma care. With his wealth of knowledge and expertise, Prof. Biberthaler is known for providing exceptional care to his patients, making him a highly respected and sought-after doctor in the field of trauma surgery."
University Hospital Rechts der Isar Munich,Thoracic surgery,Prof. Dr. med. Hans Hoffmann,https://airomedical.com/_next/image?url=https%3A%2F%2Fstorage.airomedical.com%2Fimages%2Fdoctors%2F1%2Fcl0qzea4o000n0ks6g4312fy5.jpg&w=100&q=100,"Prof. Dr. med. Hans Hoffmann is an experienced doctor specializing in general and thoracic surgery. With 26 years of experience, Dr. Hoffmann has made significant contributions to the field through his expertise and research. He received his medical studies and specialist training at the prestigious Ludwig Maximilian University of Munich, further establishing his credibility. Notably, Dr. Hoffmann served as a senior consultant in the surgical department of the thoracic clinic at the University of Heidelberg for 20 years before becoming the Head of the Department of adult and pediatric thoracic surgery at University Hospital Rechts der Isar Munich in 2017. This progression demonstrates his ability to excel and take on leadership roles in his field. In addition to his extensive experience, Dr. Hoffmann has published a remarkable 1044 scientific publications. This extensive list of publications showcases his commitment to advancing medical knowledge and his expertise in various areas of thoracic surgery. It is a testament to his dedication and ongoing research efforts. Overall, with his impressive career trajectory, extensive experience, and numerous scientific publications, Prof. Dr. med. Hans Hoffmann is an exceptional doctor in his field. His expertise and contributions make him a valuable asset to the Department of thoracic surgery at University Hospital Rechts der Isar Munich."
University Hospital Rechts der Isar Munich,"Rheumatology, nephrology",Prof. Dr. med. Uwe Heemann,https://airomedical.com/_next/image?url=https%3A%2F%2Fstorage.airomedical.com%2Fimages%2Fdoctors%2F1%2Fcl0qzea4o000n0ks6g4312fy5.jpg&w=100&q=100,"Prof. Dr. med. Uwe Heemann, a renowned doctor with 37 years of experience, specializes in rheumatology, autoimmune diseases, transplantology, and nephrology. He currently works at the University Hospital Rechts der Isar Munich in Germany, specifically in the Department of Rheumatology, Autoimmune Diseases, and Nephrology. Throughout his career, Prof. Dr. Heemann has achieved numerous accomplishments and received prestigious awards. He has published 581 scientific articles, highlighting his expertise and dedication to advancing medical knowledge in his fields of specialization. His research focuses on topics such as renal thrombotic microangiopathy, SARS-CoV-2 neutralization, cardiovascular risk factors in hemodialysis patients, and genetic testing for kidney diseases. Prof. Dr. Heemann's extensive experience and contributions to the medical field make him highly regarded in his profession. His involvement in various committees, societies, and foundations demonstrates his commitment to improving organ transplantation practices and patient outcomes. Patients can trust his expertise and dedication to providing the best possible care for rheumatologic, autoimmune, and nephrology conditions."
University Hospital Rechts der Isar Munich,"Psychosomatics, psychotherapy",Prof. Dr. med. Peter Henningsen,https://airomedical.com/_next/image?url=https%3A%2F%2Fstorage.airomedical.com%2Fimages%2Fdoctors%2F1%2Fcl0qzea4o000n0ks6g4312fy5.jpg&w=100&q=100,"Prof. Dr. med. Peter Henningsen is a renowned doctor specializing in psychosomatics and psychotherapy, with over 39 years of experience. He is currently working at the Department of Psychosomatics and Psychotherapy at University Hospital Rechts der Isar in Munich, Germany. Dr. Henningsen's impressive career includes various notable achievements. He has served as the Vice Dean and later the Dean of the Medical Faculty of the Technical University of Munich from 2006 to 2019. This leadership role highlights his expertise and contributions to the medical field. Additionally, he is an Associate Editor for the Journal of Psychosomatic Research and a Viktor von Weizsacker Society board member. With a total of 490 scientific publications, Dr. Henningsen is actively involved in research and development in his field. His extensive publications cover various topics, including functional somatic disorders, fibromyalgia syndrome, post-traumatic stress disorder, and psychosomatic medicine. These publications emphasize his dedication to advancing knowledge and improving patient treatment outcomes. Overall, Prof. Dr. med. Peter Henningsen's vast experience, leadership roles, and significant research contributions make him a highly respected and knowledgeable doctor in psychosomatics and psychotherapy. Patients can trust his expertise and commitment to providing excellent care."
University Hospital Rechts der Isar Munich,"Plastic, hand surgery",Prof. Dr. med. Hans-Gunther Machens,https://airomedical.com/_next/image?url=https%3A%2F%2Fstorage.airomedical.com%2Fimages%2Fdoctors%2F1%2Fcl0qzea4o000n0ks6g4312fy5.jpg&w=100&q=100,"Prof. Dr. med. Hans-Gunther Machens is a highly experienced doctor specializing in plastic surgery and hand surgery. With over 35 years of experience, Dr. Machens has established himself as an expert in his field. He has an impressive CV, including extensive education and training at renowned medical institutions around the world. Dr. Machens has worked at prestigious hospitals such as the University Hospital Heidelberg, Hannover Medical School, and University Hospital Lubeck before joining the University Hospital Rechts der Isar Munich. He has also co-founded the ""Tissue Engineering"" competence center in Lubeck, showcasing his dedication to advancing medical research and technology. With a remarkable 474 scientific publications, Dr. Machens demonstrates his commitment to staying at the forefront of his field and contributing to medical knowledge. His research focuses on various aspects of plastic surgery, hand surgery, wound healing, and regenerative medicine. Dr. Machens' extensive experience and dedication to research and innovation make him an exceptional doctor. Patients can trust in his expertise and benefit from the latest plastic and hand surgery advancements. At the University Hospital Rechts der Isar Munich, he leads the Department of Plastic and hand surgery, providing high-quality care to patients in Germany."
University Hospital Rechts der Isar Munich,"Pediatrics, adolescent medicine",Prof. Dr. med. Armin Grubl,https://airomedical.com/_next/image?url=https%3A%2F%2Fstorage.airomedical.com%2Fimages%2Fdoctors%2F1%2Fcl0qzea4o000n0ks6g4312fy5.jpg&w=100&q=100,"Prof. Dr. med. Armin Grubl is an experienced pediatrician and adolescent medicine specialist with 35 years of experience. He is currently working at the Department of Pediatric and Adolescent Medicine at the University Hospital Rechts der Isar in Munich, Germany. Dr. Grubl has a distinguished career, including being the head of the children's polyclinic and the Department of Pediatric and Adolescent Medicine at the Academic Hospital Schwabing in Munich before joining the University Hospital. He has also served as a deputy head of the GINI study, focusing on the natural course of atopic diseases and their determinants. He is a member of several prestigious medical associations, including the German Society for Pediatrics and Adolescent Medicine, the German Society for Allergology and Clinical Immunology, and the Society for Pediatric Allergology and Environmental Medicine. This highlights his expertise and dedication to the field. With over 130 scientific publications, Dr. Grubl's research focuses on various areas, including the preventive effect of hydrolyzed infant formulas on allergic diseases and the long-term effects of nutritional interventions. His contributions to the field of pediatric medicine have made him a respected and well-regarded doctor. Overall, Prof. Dr. med. Armin Grubl is a highly skilled and accomplished pediatrician who brings extensive experience and expertise to his practice. His dedication to research and his contributions to the field make him a valued member of the medical community."
University Hospital Rechts der Isar Munich,Palliative care,Prof. Dr. med. Johanna Anneser,https://airomedical.com/_next/image?url=https%3A%2F%2Fstorage.airomedical.com%2Fimages%2Fdoctors%2F1%2Fcl0qzea4o000n0ks6g4312fy5.jpg&w=100&q=100,"Prof. Dr. med. Johanna Anneser is a highly experienced doctor with 27 years of practice in Germany, specifically in Munich. She is currently the head of the Department of Palliative Medicine and Care at University Hospital Rechts der Isar Munich. Dr. Anneser has an impressive background in various medical fields, including palliative medicine, neurology, psychosomatic medicine, and psychotherapy. With her extensive knowledge and expertise, she is able to provide comprehensive care and support to patients in need. Dr. Anneser's career highlights include completing her medical studies at the prestigious Ludwig-Maximilians-University in Munich and obtaining her doctorate from the Max Planck Institute for Psychiatry. She also underwent specialist training at the Neurological Clinic and the Psychiatric Clinic of the University of Munich, further enhancing her skills and knowledge. Additionally, she received further training in palliative medicine at the interdisciplinary center for palliative medicine at the Clinic Grosshadern, solidifying her expertise in this specialized field. With 63 scientific publications to her name, Dr. Anneser actively contributes to the medical community through her research. Her publications cover a wide range of topics, including end-of-life care, ethical considerations in medical decisions, and the treatment of specific conditions such as amyotrophic lateral sclerosis. This demonstrates her commitment to advancing medical knowledge and improving patient care through evidence-based practices. Overall, Prof. Dr. med. Johanna Anneser's extensive experience, diverse expertise, and dedication to research make her an exceptional doctor. Her leadership role in the Department of Palliative Medicine and Care at University Hospital Rechts der Isar Munich ensures that patients receive the highest quality of care in their time of need."
University Hospital Rechts der Isar Munich,"ENT, head, neck, plastic surgery",Prof. Dr. med. Barbara Wollenberg,https://airomedical.com/_next/image?url=https%3A%2F%2Fstorage.airomedical.com%2Fimages%2Fdoctors%2F1%2Fcl0qzea4o000n0ks6g4312fy5.jpg&w=100&q=100,"Prof. Dr. med. Barbara Wollenberg is an experienced and highly accomplished doctor specializing in otolaryngology, head and neck surgery, plastic-reconstructive surgery, oncology, and immunology. With over 35 years of experience in the field, Dr. Wollenberg has established herself as a leading expert in her profession. She currently works at the Department of otolaryngology, head and neck surgery, and plastic-reconstructive surgery at University Hospital Rechts der Isar in Munich, Germany. Dr. Wollenberg's career is highlighted by numerous achievements, including her extensive publication record of 695 scientific publications. Her research focuses on a wide range of topics, such as liquid biopsy for predictive tumor markers, diagnostic challenges in otolaryngology, and the role of epithelial-mesenchymal transition in salivary gland tumors. Her contributions to the field have been recognized with prestigious awards, including the Anton von Troeltsch Prize and the Monika Kutzner Prize for cancer research. Dr. Wollenberg's expertise and dedication to her patients make her stand out as a top doctor in her field. Her comprehensive knowledge and specialization in multiple areas of otolaryngology and head and neck surgery enable her to provide excellent care and innovative treatments. With her extensive experience and passion for research, Dr. Wollenberg continues to contribute to advancements in oncology and immunology."
